"FeatureID"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"101553"	"Archaea"	"Euryarchaeota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanobacterium"	"beijingense"
"139743"	"Archaea"	"Euryarchaeota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanobacterium"	"bryantii"
"177"	"Archaea"	"Euryarchaeota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanobacterium"	"bryantii"
"1144188"	"Archaea"	"Euryarchaeota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanobacterium"	NA
"249915"	"Archaea"	"Euryarchaeota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanobacterium"	NA
"677966"	"Archaea"	"Euryarchaeota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanobacterium"	NA
"150477"	"Archaea"	"Euryarchaeota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanosphaera"	NA
"3528445"	"Archaea"	"Euryarchaeota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanosphaera"	NA
"4438983"	"Archaea"	"Euryarchaeota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanobrevibacter"	NA
"842598"	"Archaea"	"Euryarchaeota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanobrevibacter"	NA
"152450"	"Archaea"	"Euryarchaeota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanobrevibacter"	NA
"849440"	"Archaea"	"Euryarchaeota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanobrevibacter"	NA
"86"	"Archaea"	"Euryarchaeota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanobrevibacter"	NA
"153168"	"Archaea"	"Euryarchaeota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanobrevibacter"	NA
"782042"	"Archaea"	"Euryarchaeota"	"Thermoplasmata"	"E2"	"Methanomassiliicoccaceae"	"Methanomassiliicoccus"	NA
"103219"	"Archaea"	"Euryarchaeota"	"Methanomicrobia"	"Methanosarcinales"	"Methanosaetaceae"	"Methanosaeta"	NA
"4213913"	"Bacteria"	"SR1"	NA	NA	NA	NA	NA
"4330849"	"Bacteria"	"SR1"	NA	NA	NA	NA	NA
"4400869"	"Bacteria"	"SR1"	NA	NA	NA	NA	NA
"655496"	"Bacteria"	"GN02"	"BD1-5"	NA	NA	NA	NA
"4021961"	"Bacteria"	"GN02"	"BD1-5"	NA	NA	NA	NA
"779795"	"Bacteria"	"OD1"	"ABY1"	NA	NA	NA	NA
"150671"	"Bacteria"	"OD1"	"ZB2"	NA	NA	NA	NA
"401717"	"Bacteria"	"TM7"	"TM7-3"	"CW040"	"F16"	NA	NA
"39443"	"Bacteria"	"TM7"	"TM7-3"	"CW040"	"F16"	NA	NA
"4299136"	"Bacteria"	"TM7"	"TM7-3"	"CW040"	"F16"	NA	NA
"4365684"	"Bacteria"	"TM7"	"TM7-3"	"CW040"	NA	NA	NA
"17020"	"Bacteria"	"TM7"	"TM7-3"	"CW040"	NA	NA	NA
"1121302"	"Bacteria"	"TM7"	"TM7-3"	"EW055"	NA	NA	NA
"4377652"	"Bacteria"	"TM7"	"TM7-3"	NA	NA	NA	NA
"4458736"	"Bacteria"	"TM7"	"TM7-3"	NA	NA	NA	NA
"4318700"	"Bacteria"	"TM7"	"TM7-3"	NA	NA	NA	NA
"4393962"	"Bacteria"	"TM7"	"TM7-3"	NA	NA	NA	NA
"4427701"	"Bacteria"	"TM7"	"TM7-3"	NA	NA	NA	NA
"210046"	"Bacteria"	"TM7"	"SC3"	NA	NA	NA	NA
"756593"	"Bacteria"	NA	NA	NA	NA	NA	NA
"167052"	"Bacteria"	"Cyanobacteria"	"ML635J-21"	NA	NA	NA	NA
"268334"	"Bacteria"	"Cyanobacteria"	"ML635J-21"	NA	NA	NA	NA
"342685"	"Bacteria"	"Cyanobacteria"	"4C0d-2"	"YS2"	NA	NA	NA
"385807"	"Bacteria"	"Cyanobacteria"	"4C0d-2"	"YS2"	NA	NA	NA
"4352242"	"Bacteria"	"Cyanobacteria"	"4C0d-2"	"YS2"	NA	NA	NA
"4303423"	"Bacteria"	"Cyanobacteria"	"4C0d-2"	"YS2"	NA	NA	NA
"301924"	"Bacteria"	"Cyanobacteria"	"4C0d-2"	"YS2"	NA	NA	NA
"3510057"	"Bacteria"	"Cyanobacteria"	"4C0d-2"	"YS2"	NA	NA	NA
"527762"	"Bacteria"	"Cyanobacteria"	"4C0d-2"	"YS2"	NA	NA	NA
"269386"	"Bacteria"	"Cyanobacteria"	"4C0d-2"	"YS2"	NA	NA	NA
"2134134"	"Bacteria"	"Cyanobacteria"	"4C0d-2"	"YS2"	NA	NA	NA
"279048"	"Bacteria"	"Cyanobacteria"	"4C0d-2"	"YS2"	NA	NA	NA
"4359258"	"Bacteria"	"Cyanobacteria"	"4C0d-2"	"YS2"	NA	NA	NA
"4456606"	"Bacteria"	"Cyanobacteria"	"4C0d-2"	"YS2"	NA	NA	NA
"918242"	"Bacteria"	"Cyanobacteria"	"4C0d-2"	"YS2"	NA	NA	NA
"320915"	"Bacteria"	"Cyanobacteria"	"4C0d-2"	"YS2"	NA	NA	NA
"351680"	"Bacteria"	"Cyanobacteria"	"4C0d-2"	"MLE1-12"	NA	NA	NA
"542446"	"Bacteria"	"Cyanobacteria"	"4C0d-2"	"MLE1-12"	NA	NA	NA
"88989"	"Bacteria"	"Cyanobacteria"	"4C0d-2"	"MLE1-12"	NA	NA	NA
"98258"	"Bacteria"	"Cyanobacteria"	"4C0d-2"	"MLE1-12"	NA	NA	NA
"151126"	"Bacteria"	"Cyanobacteria"	"4C0d-2"	"MLE1-12"	NA	NA	NA
"587227"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"Chlorophyta"	"Trebouxiophyceae"	NA	NA
"173746"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"Streptophyta"	NA	NA	NA
"683178"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"Streptophyta"	NA	NA	NA
"4471279"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"Streptophyta"	NA	NA	NA
"4302241"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"Streptophyta"	NA	NA	NA
"245980"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"Streptophyta"	NA	NA	NA
"3807100"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"Streptophyta"	NA	NA	NA
"616310"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"Streptophyta"	NA	NA	NA
"153978"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"Streptophyta"	NA	NA	NA
"1964005"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"Streptophyta"	NA	NA	NA
"4431803"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"Streptophyta"	NA	NA	NA
"432284"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"Streptophyta"	NA	NA	NA
"467605"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"Streptophyta"	NA	NA	NA
"4420570"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"Streptophyta"	NA	NA	NA
"35330"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"Streptophyta"	NA	NA	NA
"4332202"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"Streptophyta"	NA	NA	NA
"2069160"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"Streptophyta"	NA	NA	NA
"4386317"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"Streptophyta"	NA	NA	NA
"4001495"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"Streptophyta"	NA	NA	NA
"129048"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"Streptophyta"	NA	NA	NA
"3538"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"Streptophyta"	NA	NA	NA
"4350498"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"Stramenopiles"	NA	NA	NA
"532888"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"Stramenopiles"	NA	NA	NA
"574920"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	"Stramenopiles"	NA	NA	NA
"52865"	"Bacteria"	"Cyanobacteria"	"Chloroplast"	NA	NA	NA	NA
"1004307"	"Bacteria"	"Cyanobacteria"	"Nostocophycideae"	"Stigonematales"	"Rivulariaceae"	"Calothrix"	NA
"71326"	"Bacteria"	"Cyanobacteria"	"Oscillatoriophycideae"	"Chroococcales"	"Xenococcaceae"	NA	NA
"711705"	"Bacteria"	"Cyanobacteria"	"Oscillatoriophycideae"	"Chroococcales"	"Xenococcaceae"	NA	NA
"649518"	"Bacteria"	"Cyanobacteria"	"Oscillatoriophycideae"	"Chroococcales"	"Xenococcaceae"	"Chroococcidiopsis"	NA
"224486"	"Bacteria"	"Cyanobacteria"	"Oscillatoriophycideae"	"Chroococcales"	"Xenococcaceae"	NA	NA
"505954"	"Bacteria"	"Cyanobacteria"	"Oscillatoriophycideae"	"Chroococcales"	"Xenococcaceae"	NA	NA
"141154"	"Bacteria"	"Cyanobacteria"	"Oscillatoriophycideae"	"Chroococcales"	"Xenococcaceae"	NA	NA
"108491"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Sulfurospirillum"	NA
"1105219"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	NA
"562014"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	NA
"302158"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	NA
"1148151"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	NA
"833609"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	NA
"4368261"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	NA
"4313915"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	NA
"4442127"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	NA
"4362073"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	NA
"32546"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	NA
"253584"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	NA
"246717"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	NA
"4467081"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	NA
"4319168"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	NA
"4480882"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	NA
"4393071"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	NA
"4375688"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	NA
"4401957"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	NA
"105235"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Arcobacter"	"cryaerophilus"
"584500"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Arcobacter"	NA
"128801"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Helicobacteraceae"	"Wolinella"	"succinogenes"
"47556"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Helicobacteraceae"	"Flexispira"	"rappini"
"10960"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Helicobacteraceae"	"Flexispira"	NA
"74305"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Helicobacteraceae"	"Flexispira"	NA
"34757"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Helicobacteraceae"	"Helicobacter"	"apodemus"
"100344"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Helicobacteraceae"	NA	NA
"675509"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Helicobacteraceae"	NA	NA
"10952"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Helicobacteraceae"	"Helicobacter"	"pylori"
"132837"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Helicobacteraceae"	"Helicobacter"	"pylori"
"10961"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Helicobacteraceae"	"Helicobacter"	NA
"1141335"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Helicobacteraceae"	"Helicobacter"	NA
"112997"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Helicobacteraceae"	"Helicobacter"	NA
"143360"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Helicobacteraceae"	NA	NA
"4334436"	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Helicobacteraceae"	"Sulfuricurvum"	"kujiense"
"1053194"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Sinobacteraceae"	NA	NA
"1106653"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Sinobacteraceae"	NA	NA
"100307"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Sinobacteraceae"	NA	NA
"761783"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Sinobacteraceae"	NA	NA
"204064"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Sinobacteraceae"	NA	NA
"156986"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Sinobacteraceae"	NA	NA
"3863098"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Sinobacteraceae"	"Steroidobacter"	NA
"4453684"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Sinobacteraceae"	NA	NA
"279138"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Sinobacteraceae"	NA	NA
"715527"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	NA	NA
"4401530"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Dokdonella"	NA
"629032"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Dokdonella"	NA
"1132602"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	NA	NA
"4373078"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Dyella"	NA
"276133"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	NA	NA
"2761428"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	NA	NA
"1136234"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Rhodanobacter"	"lindaniclasticus"
"81488"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	NA	NA
"1121503"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	NA	NA
"4420590"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	NA	NA
"548785"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	NA	NA
"4467221"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	NA	NA
"928736"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	NA	NA
"4463771"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	NA	NA
"678813"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	NA	NA
"227343"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	NA	NA
"1083508"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	NA	NA
"1049387"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Pseudoxanthomonas"	"mexicana"
"780788"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	NA	NA
"3055791"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Stenotrophomonas"	"panacihumi"
"338929"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Xanthomonas"	NA
"4336330"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Xanthomonas"	NA
"7801"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Stenotrophomonas"	"acidaminiphila"
"349200"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Stenotrophomonas"	NA
"2806353"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Stenotrophomonas"	NA
"4430952"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Stenotrophomonas"	NA
"4477028"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Stenotrophomonas"	NA
"663573"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Stenotrophomonas"	NA
"4423360"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Stenotrophomonas"	NA
"516809"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Stenotrophomonas"	NA
"4441357"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Stenotrophomonas"	NA
"3330580"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Stenotrophomonas"	NA
"790312"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Pseudoxanthomonas"	"taiwanensis"
"2574747"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	NA	NA
"146193"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Pseudoxanthomonas"	"indica"
"4479467"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Stenotrophomonas"	"rhizophila"
"4391120"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Luteimonas"	NA
"818495"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Luteimonas"	NA
"4308369"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Luteimonas"	NA
"1131140"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Luteimonas"	NA
"364818"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Luteimonas"	NA
"146917"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Luteimonas"	"mephitis"
"4330939"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Luteimonas"	NA
"2693226"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Lysobacter"	NA
